survey_date,ano_ref,dlsp_focus_med_pct_pib,numeroRespondentes,dlsp_sgs_pct_pib,dlsp_sgs_yoy_pp,dlsp_sgs_data_obs,dlsp_divulgacao_aprox
2018-03-08,2019,57.6,24,54.7,,2019-12-01,2020-05-01
2018-03-08,2020,59.2,21,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-08,2021,61.1,18,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-03-08,2022,62.1,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-03-08,2023,63.3,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-03-08,2024,63.1,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-03-08,2025,62.1,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-03-09,2019,57.6,22,54.7,,2019-12-01,2020-05-01
2018-03-09,2020,59.4,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-09,2021,61.2,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-03-09,2022,62.35,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-03-09,2023,63.3,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-03-09,2024,63.35,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-03-09,2025,62.1,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-03-12,2019,57.6,22,54.7,,2019-12-01,2020-05-01
2018-03-12,2020,59.3,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-12,2021,61.1,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-03-12,2022,62.2,15,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-03-12,2023,63.3,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-03-12,2024,62.1,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-03-12,2025,60.9,12,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-03-13,2019,57.6,22,54.7,,2019-12-01,2020-05-01
2018-03-13,2020,59.05,18,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-13,2021,60.8,16,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-03-13,2022,62.0,15,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-03-13,2023,62.95,14,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-03-13,2024,62.1,13,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-03-13,2025,60.9,12,65.24,3.9399999999999977,2025-12-01,2026-05-01
