survey_date;selic_year_ref;selic_focus_pct;reuniao;selic_focus_nresp;ref_yyyymm;ipca_focus_med_mensal_pct
2021-09-06;2021;8,0;R8/2021;49;202109;8,0
2021-09-08;2021;8,0;R8/2021;48;202109;8,0
2021-09-09;2021;8,0;R8/2021;58;202109;8,0
2021-09-10;2021;8,0;R8/2021;65;202109;8,0
2021-09-13;2021;8,0;R8/2021;66;202109;8,0
2021-09-14;2021;8,0;R8/2021;71;202109;8,0
2021-09-15;2021;8,0;R8/2021;76;202109;8,0
2021-09-16;2021;8,0;R8/2021;75;202109;8,0
2021-09-17;2021;8,25;R8/2021;98;202109;8,25
2021-09-20;2021;8,25;R8/2021;94;202109;8,25
2021-09-21;2021;8,25;R8/2021;88;202109;8,25
2021-09-22;2021;8,25;R8/2021;86;202109;8,25
2021-09-23;2021;8,25;R8/2021;82;202109;8,25
2021-09-24;2021;8,25;R8/2021;49;202109;8,25
2021-09-27;2021;8,25;R8/2021;50;202109;8,25
2021-09-28;2021;8,25;R8/2021;53;202109;8,25
2021-09-29;2021;8,25;R8/2021;54;202109;8,25
2021-09-30;2021;8,25;R8/2021;56;202109;8,25
2021-10-01;2021;8,25;R8/2021;68;202110;8,25
2021-10-04;2021;8,25;R8/2021;64;202110;8,25
2021-10-05;2021;8,25;R8/2021;63;202110;8,25
2021-10-06;2021;8,25;R8/2021;62;202110;8,25
2021-10-07;2021;8,25;R8/2021;59;202110;8,25
2021-10-08;2021;8,25;R8/2021;38;202110;8,25
2021-10-11;2021;8,25;R8/2021;42;202110;8,25
2021-10-13;2021;8,25;R8/2021;44;202110;8,25
2021-10-14;2021;8,25;R8/2021;44;202110;8,25
2021-10-15;2021;8,25;R8/2021;51;202110;8,25
2021-10-18;2021;8,25;R8/2021;44;202110;8,25
2021-10-19;2021;8,25;R8/2021;42;202110;8,25
2021-10-20;2021;8,25;R8/2021;44;202110;8,25
2021-10-21;2021;8,25;R8/2021;53;202110;8,25
2021-10-22;2021;8,75;R8/2021;97;202110;8,75
2021-10-25;2021;8,75;R8/2021;97;202110;8,75
2021-10-26;2021;8,75;R8/2021;99;202110;8,75
2021-10-27;2021;9,0;R8/2021;101;202110;9,0
2021-10-28;2021;9,25;R8/2021;96;202110;9,25
2021-10-29;2021;9,25;R8/2021;65;202110;9,25
2021-11-01;2021;9,25;R8/2021;61;202111;9,25
2021-11-03;2021;9,25;R8/2021;64;202111;9,25
2021-11-04;2021;9,25;R8/2021;65;202111;9,25
2021-11-05;2021;9,25;R8/2021;86;202111;9,25
2021-11-08;2021;9,25;R8/2021;84;202111;9,25
2021-11-09;2021;9,25;R8/2021;79;202111;9,25
2021-11-10;2021;9,25;R8/2021;80;202111;9,25
2021-11-11;2021;9,25;R8/2021;76;202111;9,25
2021-11-12;2021;9,25;R8/2021;49;202111;9,25
2021-11-16;2021;9,25;R8/2021;53;202111;9,25
2021-11-17;2021;9,25;R8/2021;56;202111;9,25
2021-11-18;2021;9,25;R8/2021;54;202111;9,25
2021-11-19;2021;9,25;R8/2021;81;202111;9,25
2021-11-22;2021;9,25;R8/2021;82;202111;9,25
2021-11-23;2021;9,25;R8/2021;77;202111;9,25
2021-11-24;2021;9,25;R8/2021;74;202111;9,25
2021-11-25;2021;9,25;R8/2021;69;202111;9,25
2021-11-26;2021;9,25;R8/2021;35;202111;9,25
2021-11-29;2021;9,25;R8/2021;43;202111;9,25
2021-11-30;2021;9,25;R8/2021;41;202111;9,25
2021-12-01;2021;9,25;R8/2021;44;202112;9,25
2021-12-02;2021;9,25;R8/2021;47;202112;9,25
2021-12-03;2021;9,25;R8/2021;88;202112;9,25
2021-12-06;2021;9,25;R8/2021;82;202112;9,25
2021-12-07;2021;9,25;R8/2021;88;202112;9,25
2021-12-08;2021;9,25;R8/2021;86;202112;9,25
2022-01-03;2022;11,75;R8/2022;31;202201;11,75
2022-01-04;2022;11,75;R8/2022;36;202201;11,75
2022-01-05;2022;11,75;R8/2022;34;202201;11,75
2022-01-06;2022;11,75;R8/2022;27;202201;11,75
2022-01-07;2022;11,75;R8/2022;50;202201;11,75
2022-01-10;2022;11,75;R8/2022;50;202201;11,75
2022-01-11;2022;11,75;R8/2022;56;202201;11,75
2022-01-12;2022;11,75;R8/2022;57;202201;11,75
2022-01-13;2022;11,75;R8/2022;58;202201;11,75
2022-01-14;2022;11,75;R8/2022;50;202201;11,75
2022-01-17;2022;11,75;R8/2022;49;202201;11,75
2022-01-18;2022;11,625;R8/2022;46;202201;11,625
2022-01-19;2022;11,625;R8/2022;48;202201;11,625
2022-01-20;2022;11,5;R8/2022;52;202201;11,5
2022-01-21;2022;11,75;R8/2022;80;202201;11,75
2022-01-24;2022;11,75;R8/2022;80;202201;11,75
2022-01-25;2022;11,75;R8/2022;74;202201;11,75
2022-01-26;2022;11,75;R8/2022;72;202201;11,75
2022-01-27;2022;11,75;R8/2022;86;202201;11,75
2022-01-28;2022;11,875;R8/2022;94;202201;11,875
2022-01-31;2022;11,875;R8/2022;92;202201;11,875
2022-02-01;2022;12,0;R8/2022;94;202202;12,0
2022-02-02;2022;12,0;R8/2022;95;202202;12,0
2022-02-03;2022;11,75;R8/2022;81;202202;11,75
2022-02-04;2022;11,75;R8/2022;45;202202;11,75
2022-02-07;2022;11,75;R8/2022;51;202202;11,75
2022-02-08;2022;11,75;R8/2022;62;202202;11,75
2022-02-09;2022;12,0;R8/2022;73;202202;12,0
2022-02-10;2022;12,125;R8/2022;72;202202;12,125
2022-02-11;2022;12,25;R8/2022;94;202202;12,25
2022-02-14;2022;12,25;R8/2022;100;202202;12,25
2022-02-15;2022;12,25;R8/2022;91;202202;12,25
2022-02-16;2022;12,25;R8/2022;80;202202;12,25
2022-02-17;2022;12,25;R8/2022;75;202202;12,25
2022-02-18;2022;12,25;R8/2022;66;202202;12,25
2022-02-21;2022;12,25;R8/2022;67;202202;12,25
2022-02-22;2022;12,25;R8/2022;74;202202;12,25
2022-02-23;2022;12,25;R8/2022;74;202202;12,25
2022-02-24;2022;12,25;R8/2022;74;202202;12,25
2022-02-25;2022;12,25;R8/2022;50;202202;12,25
2022-03-02;2022;12,25;R8/2022;46;202203;12,25
2022-03-03;2022;12,25;R8/2022;42;202203;12,25
2022-03-04;2022;12,25;R8/2022;51;202203;12,25
2022-03-07;2022;12,5;R8/2022;47;202203;12,5
2022-03-08;2022;12,625;R8/2022;42;202203;12,625
2022-03-09;2022;12,75;R8/2022;49;202203;12,75
2022-03-10;2022;12,75;R8/2022;53;202203;12,75
2022-03-11;2022;13,0;R8/2022;98;202203;13,0
2022-03-14;2022;13,0;R8/2022;104;202203;13,0
2022-03-15;2022;13,0;R8/2022;100;202203;13,0
2022-03-16;2022;13,0;R8/2022;95;202203;13,0
2022-03-17;2022;13,0;R8/2022;96;202203;13,0
2022-03-18;2022;13,0;R8/2022;78;202203;13,0
2022-03-21;2022;13,0;R8/2022;78;202203;13,0
2022-03-22;2022;13,0;R8/2022;78;202203;13,0
2022-03-23;2022;13,0;R8/2022;81;202203;13,0
2022-03-24;2022;13,25;R8/2022;76;202203;13,25
2022-03-25;2022;13,25;R8/2022;80;202203;13,25
2022-03-28;2022;13,0;R8/2022;85;202203;13,0
2022-03-29;2022;13,0;R8/2022;84;202203;13,0
2022-03-30;2022;13,0;R8/2022;88;202203;13,0
2022-03-31;2022;13,0;R8/2022;79;202203;13,0
2022-04-01;2022;12,75;R8/2022;41;202204;12,75
2022-04-04;2022;12,75;R8/2022;40;202204;12,75
2022-04-05;2022;12,75;R8/2022;42;202204;12,75
2022-04-06;2022;12,75;R8/2022;37;202204;12,75
2022-04-07;2022;12,75;R8/2022;33;202204;12,75
2022-04-08;2022;13,0;R8/2022;32;202204;13,0
2022-04-11;2022;13,0;R8/2022;37;202204;13,0
2022-04-12;2022;13,175;R8/2022;36;202204;13,175
2022-04-13;2022;13,25;R8/2022;37;202204;13,25
2022-04-14;2022;13,25;R8/2022;42;202204;13,25
2022-04-18;2022;13,25;R8/2022;33;202204;13,25
2022-04-19;2022;13,25;R8/2022;35;202204;13,25
2022-04-20;2022;13,25;R8/2022;46;202204;13,25
2022-04-22;2022;13,25;R8/2022;79;202204;13,25
2022-04-25;2022;13,25;R8/2022;84;202204;13,25
2022-04-26;2022;13,25;R8/2022;88;202204;13,25
2022-04-27;2022;13,25;R8/2022;88;202204;13,25
2022-04-28;2022;13,25;R8/2022;80;202204;13,25
2022-04-29;2022;13,25;R8/2022;89;202204;13,25
2022-05-02;2022;13,25;R8/2022;84;202205;13,25
